25-10-2021 10-30-15|Nie zweryfikowano: 233600f1-356a-11ec-a7aa-3fd08b11e2a9 2021-10-25 10:04:44+02:00
25-10-2021 14-53-47|Problem - wszed³em na z³y serwer
25-10-2021 15-53-12|Problem - brak potwierdzenia transferu tc
25-10-2021 15-53-12|Problem - TRANSAKCJA NIE ZOSTA£A ZREALIZOWANA POPRAWNIE
25-10-2021 15-53-15|Blad przy realizacji: 14590 2021-10-25 15:26:38+02:00
25-10-2021 15-57-16|Problem - TRANSAKCJA NIE ZOSTA£A ZREALIZOWANA POPRAWNIE
25-10-2021 15-57-19|Blad przy realizacji: 14593 2021-10-25 15:26:38+02:00
25-10-2021 16-03-01|Problem - TRANSAKCJA NIE ZOSTA£A ZREALIZOWANA POPRAWNIE
25-10-2021 16-03-04|Blad przy realizacji: 14594 2021-10-25 15:26:38+02:00
25-10-2021 16-16-10|Problem - TRANSAKCJA NIE ZOSTA£A ZREALIZOWANA POPRAWNIE
25-10-2021 16-16-14|Blad przy realizacji: 14595 2021-10-25 15:26:38+02:00
25-10-2021 17-15-26|Blad przy pobieraniu maili
25-10-2021 19-54-09|Nie zweryfikowano: 6f1c9271-35bc-11ec-85f4-39790651ff7a 2021-10-25 19:53:27+02:00
25-10-2021 20-06-13|Problem - wszed³em na z³y serwer
25-10-2021 20-08-06|Nie zweryfikowano: 0093d731-35be-11ec-ad47-835f5994fb91 2021-10-25 20:05:50+02:00
25-10-2021 20-13-55|Problem - wszed³em na z³y serwer
26-10-2021 05-38-05|Blad przy pobieraniu maili
26-10-2021 05-56-44|Blad przy pobieraniu maili
26-10-2021 06-18-24|Blad przy pobieraniu maili
26-10-2021 10-30-16|Nie zweryfikowano: 728caf51-3632-11ec-a7aa-3fd08b11e2a9 2021-10-26 09:58:29+02:00
26-10-2021 10-32-56|Problem - wszed³em na z³y serwer
26-10-2021 10-33-00|Problem z wejœciem na serwer
26-10-2021 10-33-03|Blad przy realizacji: 14633 2021-10-26 10:31:35+02:00
26-10-2021 13-18-00|Nie zweryfikowano: 3056d9f1-364e-11ec-a321-a1fe1f3b445a 2021-10-26 13:17:44+02:00
26-10-2021 13-28-55|Problem - wszed³em na z³y serwer
26-10-2021 16-19-12|Blad przy pobieraniu maili
26-10-2021 17-14-27|Blad przy pobieraniu maili
26-10-2021 19-10-03|Blad przy pobieraniu maili
26-10-2021 19-47-00|Blad przy pobieraniu maili
26-10-2021 19-53-17|Nie zweryfikowano: 7e4c90a2-3685-11ec-938c-d7feaf2d9069 2021-10-26 19:52:41+02:00
26-10-2021 20-46-32|Blad przy pobieraniu maili
26-10-2021 21-15-32|Blad przy pobieraniu maili
26-10-2021 21-19-43|Nie zweryfikowano: 82f16a21-3691-11ec-a321-a1fe1f3b445a 2021-10-26 21:19:21+02:00
26-10-2021 21-34-33|Blad przy pobieraniu maili
26-10-2021 22-27-20|Blad przy pobieraniu maili
27-10-2021 02-10-17|Blad przy pobieraniu maili
27-10-2021 05-28-52|Blad przy pobieraniu maili
27-10-2021 05-33-03|Blad przy pobieraniu maili
27-10-2021 10-31-54|Problem - wszed³em na z³y serwer
27-10-2021 15-33-34|Problem - wszed³em na z³y serwer
27-10-2021 17-19-37|Blad przy pobieraniu maili
27-10-2021 18-35-53|Nie zweryfikowano: bbeeab01-3743-11ec-9a0c-f7acec2df42a 2021-10-27 18:34:57+02:00
27-10-2021 20-27-05|Blad przy pobieraniu maili
27-10-2021 20-36-26|Blad przy pobieraniu maili
27-10-2021 21-09-30|Blad przy pobieraniu maili
27-10-2021 22-59-37|Blad przy pobieraniu maili
28-10-2021 00-17-53|Blad przy pobieraniu maili
28-10-2021 18-05-01|Nie zweryfikowano: bb433341-3808-11ec-8500-47c461184829 2021-10-28 18:04:36+02:00
28-10-2021 18-09-58|Problem - wszed³em na z³y serwer
28-10-2021 18-10-02|Problem z wejœciem na serwer
28-10-2021 18-10-05|Blad przy realizacji: 14746 2021-10-28 18:08:27+02:00
28-10-2021 18-12-00|Problem - wszed³em na z³y serwer
28-10-2021 18-12-03|Problem z wejœciem na serwer
28-10-2021 18-12-06|Blad przy realizacji: 14747 2021-10-28 18:10:27+02:00
28-10-2021 22-16-32|Blad przy pobieraniu maili
29-10-2021 09-32-50|Blad przy pobieraniu maili
29-10-2021 11-00-03|Nie zweryfikowano: 564ba291-3896-11ec-a321-a1fe1f3b445a 2021-10-29 10:58:57+02:00
29-10-2021 11-56-12|Nie zweryfikowano: 32763a81-389e-11ec-870a-1d6ee552325a 2021-10-29 11:55:08+02:00
29-10-2021 11-59-21|Nie zweryfikowano: 32763a81-389e-11ec-870a-1d6ee552325a 2021-10-29 11:58:56+02:00
29-10-2021 12-15-52|Nie zweryfikowano: f3635961-38a0-11ec-867a-3b8e8dd6ee0b 2021-10-29 12:15:08+02:00
29-10-2021 12-16-58|Nie zweryfikowano: f3635961-38a0-11ec-867a-3b8e8dd6ee0b 2021-10-29 12:16:29+02:00
29-10-2021 12-17-01|Nie zweryfikowano: 2a93eb71-38a1-11ec-81c0-6511f8e5a9f5 2021-10-29 12:16:01+02:00
29-10-2021 13-55-46|Problem - wszed³em na z³y serwer
29-10-2021 15-08-31|Problem - wszed³em na z³y serwer
29-10-2021 15-31-06|Blad przy pobieraniu maili
29-10-2021 15-33-14|Blad przy pobieraniu maili
29-10-2021 16-19-16|Nie zweryfikowano: 2403f4e1-38c3-11ec-a3e3-256180626e0c 2021-10-29 16:19:07+02:00
29-10-2021 18-25-37|Blad przy pobieraniu maili
29-10-2021 18-26-42|Blad przy pobieraniu maili
29-10-2021 18-27-47|Blad przy pobieraniu maili
29-10-2021 18-28-52|Blad przy pobieraniu maili
29-10-2021 18-31-06|Blad przy pobieraniu maili
29-10-2021 19-48-52|Nie zweryfikowano: bbf3eaf1-38df-11ec-a72a-35789476f9a2 2021-10-29 19:48:07+02:00
